Name;Latitude;Longitude
Shahbad Mohammad Pur School;28.56294;77.07074
Shahbad Mohammad Pur Village;28.560113;77.07154200000002
Shahbad Mohammad Pur School;28.56278;77.07072
Dwarka Sec-8 Metro Station;28.56637000000001;77.06676999999998
Dwarka Sec-8;28.56852;77.06788
Bagdola Village;28.57252;77.06916
Dwarka Sec-8 DTC Depot;28.5758;77.07134
National Malariya Research Centre (Dwarka);28.5765;77.07594
Dada Dev Mandir;28.57818;77.07708000000002
National Malariya Research Centre (Dwarka);28.57876;77.07616
Royal Residency (Dwarka);28.5815;77.0703
Munirka Flats (Dwarka);28.58367;77.06701
Dwarka Sec 1;28.594483;77.073583
Sulabh International Centre;28.59687000000001;77.08094399999997
Mahaveer Enclave III;28.60084;77.08199
Dashrath Puri;28.60353;77.08266
Vijay Enclave (Palam-Dabri Road);28.60654000000001;77.08111
Dabri Village;28.608043;77.08195400000002
Dabri Xing;28.6128;77.0862
C2D Janakpuri;28.61446;77.086985
C4E Janakpuri;28.616659;77.087976
